Card-set,,Rarity,Card_name,Other names,Card type,Attribute,Types,Level,ATK / DEF,Rank,,,,,
Galactic Overlord,,Ultra Rare,Night Beam,,Spell,,,,,,,,,,
Shining Victories,,Rare,Fusion Tag,,Spell,,,,,,,,,,
Stardust Overdrive,,Secret Rare,Shutendoji,,Monster,EARTH,Zombie / Effect,4,1500 / 800,,,,,,
Maximum Gold,,Rare,Union Hangar,,Spell,,,,,,,,,,
Dimension of Chaos,,Common,D/D Savant Kepler,,Monster,DARK,Fiend / Pendulum / Effect,1,0 / 0,,,,,,
Invasion: Vengeance,,Secret Rare,Vermillion Dragon Mech,,Monster,FIRE,Machine / Synchro / Effect,9,2700 / 1800,,,,,,
Absolute Powerforce,,Common,Reptilianne Servant,,Monster,DARK,Reptile / Effect,1,100 / 100,,,,,,
Burst of Destiny,,Common,Beetrooper Landing,,Spell,,,,,,,,,,
Dark Crisis,,Short Print,Ojama Trio,,Trap,,,,,,,,,,
Pharaonic Guardian,,Common,Poison Mummy,,Monster,EARTH,Zombie / Effect,4,1000 / 1800,,,,,,
Magician's Force,,Common,Mass Driver,,Spell,,,,,,,,,,
Storm of Ragnarok,,Rare,Tyr of the Nordic Champions,,Monster,LIGHT,Warrior / Effect,4,2000 / 2000,,,,,,
Judgment of the Light,,Common,Spell Recycler,,Monster,DARK,Spellcaster / Effect,1,0 / 0,,,,,,
Extreme Victory,,Common,Six Style - Dual Wield,,Trap,,,,,,,,,,
Invasion: Vengeance,,Common,PSY-Frame Multi-Threader,,Monster,LIGHT,Psychic / Effect,6,0 / 2500,,,,,,
Pharaoh's Servant,,Common,Darkfire Soldier #2,,Monster,FIRE,Pyro,4,1700 / 1100,,,,,,
Labyrinth of Nightmare,,Super Rare,De-Fusion,,Spell,,,,,,,,,,
Starstrike Blast,,Common,Karakuri Anatomy,,Spell,,,,,,,,,,
Shining Victories,,Common,Lunalight Reincarnation Dance,,Trap,,,,,,,,,,
Crimson Crisis,,Common,Psychic Sword,,Spell,,,,,,,,,,
Extreme Victory,,Secret Rare,Blue Rose Dragon,,Monster,DARK,Dragon / Effect,4,1600 / 1200,,,,,,
Battle of Chaos,,Common,"Groza, Tyrant of Thunder",,Monster,DARK,Fiend / Synchro / Effect,8,2800 / 2800,,,,,,
Labyrinth of Nightmare,,Common,Melchid the Four-Face Beast,,Monster,DARK,Fiend / Normal,4,1500 / 1200,,,,,,
Rise of Destiny,,Common,Spell Purification,,Trap,,,,,,,,,,
Photon Shockwave,,Ultra Rare,Galaxy-Eyes Photon Dragon,,Monster,LIGHT,Dragon / Effect,8,3000 / 2500,,,,,,
Flaming Eternity,,Common,Hyena,,Monster,EARTH,Beast / Effect,3,1000 / 300,,,,,,
Cybernetic Revolution,,Common,Protective Soul Ailin,,Monster,LIGHT,Fairy / Union,1,0 / 0,,,,,,
Cosmo Blazer,,Ultra Rare,Mermail Abyssteus,,Monster,WATER,Aqua / Effect,7,1700 / 2400,,,,,,
Crimson Crisis,,Common,Raptor Wing Strike,,Spell,,,,,,,,,,
Metal Raiders,,Super Rare,Kazejin,,Monster,WIND,Spellcaster / Effect,7,2400 / 2200,,,,,,
Duelist Revolution,,Super Rare,Scrapstorm,,Spell,,,,,,,,,,
Shadow Specters,,Ultra Rare,Sacred Noble Knight of King Artorigus,,Monster,LIGHT,Warrior / Xyz / Effect,,2200 / 2200,5,,,,,
Battle of Chaos,,Common,"Simorgh, Bird of Perfection",,Monster,DARK,Winged Beast / Effect,4,1800 / 500,,,,,,
Ignition Assault,,Common,Guard Ghost,,Monster,DARK,Zombie / Effect,4,1800 / 100,,,,,,
Soul of the Duelist,,Common,Big Wave Small Wave,,Spell,,,,,,,,,,
The New Challengers,,Common,Qlipper Launch,,Trap,,,,,,,,,,
Generation Force,,Common,Wind-Up Dog,,Monster,EARTH,Beast / Effect,3,1200 / 900,,,,,,
Crimson Crisis,,Common,Assault Teleport,,Spell,,,,,,,,,,
Shadow of Infinity,,Super Rare,Ancient Gear Castle,,Spell,,,,,,,,,,
The Lost Millennium,,Ultra Rare,Elemental HERO Flame Wingman,Elemental Hero Flame Wingman,Monster,WIND,Warrior / Fusion / Effect,6,2100 / 1200,,,,,,
Legacy of Darkness,,Common,Smoke Grenade of the Thief,,Spell,,,,,,,,,,
Generation Force,,Common,Elemental HERO Flash,,Monster,LIGHT,Warrior / Effect,4,1100 / 1600,,,,,,
Cybernetic Revolution,,Common,Poison Draw Frog,,Monster,WATER,Aqua / Effect,2,100 / 100,,,,,,
Photon Shockwave,,Common,Evoltile Odonto,,Monster,FIRE,Reptile / Effect,2,500 / 1200,,,,,,
Raging Battle,,Ultra Rare,Grave of the Super Ancient Organism,,Trap,,,,,,,,,,
Dimension Force,,Common,Therion Stand Up!,,Trap,,,,,,,,,,
Lightning Overdrive,,Common,Binary Blader,,Monster,EARTH,Cyberse / Link / Effect,,,,,,,,
The New Challengers,,Rare,Xyz Change Tactics,,Spell,,,,,,,,,,
Raging Tempest,,Ultra Rare,Windwitch - Glass Bell,,Monster,WIND,Spellcaster / Tuner / Effect,4,1500 / 1500,,,,,,
Pharaonic Guardian,,Common,Bottomless Shifting Sand,,Trap,,,,,,,,,,
Ancient Prophecy,,Ultra Rare,Ancient Sacred Wyvern,,Monster,LIGHT,Fairy / Synchro / Effect,7,2100 / 2000,,,,,,
Ancient Prophecy,,Super Rare,Turbo Cannon,,Monster,FIRE,Machine / Synchro / Effect,3,0 / 0,,,,,,
Maximum Gold,,Premium Gold Rare,Infernity Mirage,,Monster,DARK,Fiend / Effect,1,0 / 0,,,,,,
Rise of Destiny,,Common,Woodborg Inpachi,,Monster,FIRE,Machine,5,500 / 2500,,,,,,
Ancient Sanctuary,,Common,Legendary Jujitsu Master,,Monster,EARTH,Rock / Effect,3,1300 / 1800,,,,,,
Galactic Overlord,,Secret Rare,Trial and Tribulation,,Spell,,,,,,,,,,
Battle of Chaos,,Super Rare,Dark Contract with Patent License,,Spell,,,,,,,,,,
Flames of Destruction,,Ultra Rare,Elementsaber Molehu,,Monster,DARK,Warrior / Effect,4,1900 / 0,,,,,,
Gladiator's Assault,,Common,Soul Devouring Bamboo Sword,,Spell,,,,,,,,,,
Battle of Chaos,,Common,Ghostrick or Treat,,Trap,,,,,,,,,,
Secrets of Eternity,,Common,Dododo Witch,,Monster,EARTH,Warrior / Effect,4,1200 / 1600,,,,,,
Tactical Evolution,,Secret Rare,Gemini Summoner,,Monster,WATER,Spellcaster / Effect,4,1500 / 0,,,,,,
Metal Raiders,,Common,Ground Attacker Bugroth,,Monster,EARTH,Machine,4,1500 / 1000,,,,,,
Ignition Assault,,Super Rare,Marincess Pascalus,,Monster,WATER,Cyberse / Effect,4,1200 / 2000,,,,,,
Crossed Souls,,Common,Performapal Springoose,,Monster,WIND,Winged Beast / Effect,5,1100 / 2400,,,,,,
Generation Force,,Rare,Big Jaws,,Monster,WATER,Fish / Effect,3,1800 / 300,,,,,,
Generation Force,,Secret Rare,Lost Blue Breaker,,Monster,WATER,Sea Serpent / Effect,3,1400 / 0,,,,,,
Tactical Evolution,,Super Rare,Fifth Hope,,Spell,,,,,,,,,,
Crimson Crisis,,Rare,Shining Silver Force,,Trap,,,,,,,,,,
Raging Tempest,,Common,Symphonic Warrior Synthess,,Monster,WIND,Machine / Flip / Effect,4,1200 / 1900,,,,,,
Maximum Gold,,Premium Gold Rare,Polymerization,,Spell,,,,,,,,,,
The Dark Illusion,,Common,Performapal Extra Slinger,,Monster,DARK,Spellcaster / Pendulum / Effect,3,800 / 1100,,,,,,
Legacy of the Valiant,,Common,Gorgonic Guardian,,Monster,DARK,Rock / Xyz / Effect,,1600 / 1200,3,,,,,
Pharaonic Guardian,,Common,Molten Behemoth,,Monster,FIRE,Pyro,5,1000 / 2200,,,,,,
Cosmo Blazer,,Common,Xyz Dimension Splash,,Trap,,,,,,,,,,
Ancient Sanctuary,,Common,Ninjitsu Art of Transformation,,Trap,,,,,,,,,,
Flaming Eternity,,Common,Divine Dragon Ragnarok,,Monster,LIGHT,Dragon,4,1500 / 1000,,,,,,
Code of the Duelist,,Common,Zombina,,Monster,EARTH,Zombie / Effect,4,1400 / 1500,,,,,,
Metal Raiders,,Common,Castle of Dark Illusions,,Monster,DARK,Fiend / Effect,4,920 / 1930,,,,,,
Code of the Duelist,,Short Print,The Ascended of Thunder,,Monster,LIGHT,Thunder / Effect,7,2700 / 2400,,,,,,
Burst of Destiny,,Ultra Rare,Floowandereeze and the Magnificent Map,,Spell,,,,,,,,,,
Rise of the Duelist,,Common,D/D Evil,,Monster,DARK,Fiend / Pendulum / Effect,4,2000 / 0,,,,,,
Cybernetic Revolution,,Common,Steam Gyroid,,Monster,EARTH,Machine / Fusion,6,2200 / 1600,,,,,,
Code of the Duelist,,Common,Twilight Cloth,,Trap,,,,,,,,,,
Dimension Force,,Super Rare,Sylvan Dancepione,,Monster,WIND,Plant / Link / Effect,,,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Master Hyperion,,Monster,LIGHT,Fairy / Effect,8,2700 / 2100,,,,,,
Shadow Specters,,Common,Knight Day Grepher,,Monster,LIGHT,Warrior / Gemini / Effect,4,1700 / 1600,,,,,,
Labyrinth of Nightmare,,Rare,Nuvia the Wicked,,Monster,DARK,Fiend / Effect,4,2000 / 800,,,,,,
Legend of Blue Eyes White Dragon,,Short Print,Book of Secret Arts,,Spell,,,,,,,,,,
Eternity Code,,Secret Rare,Ghost Mourner & Moonlit Chill,,Monster,WIND,Zombie / Tuner / Effect,3,0 / 1800,,,,,,
Burst of Destiny,,Super Rare,Branded in Red,,Spell,,,,,,,,,,
Dimension of Chaos,,Ultra Rare,Majespecter Raccoon - Bunbuku,,Monster,WIND,Spellcaster / Pendulum / Effect,3,1200 / 900,,,,,,
The New Challengers,,Common,"Valerifawn, Mystical Beast of the Forest",,Monster,EARTH,Beast / Tuner / Effect,2,400 / 900,,,,,,
Photon Shockwave,,Super Rare,Friller Rabca,,Monster,WATER,Fish / Effect,3,700 / 1500,,,,,,
Metal Raiders,,Super Rare,Sanga of the Thunder,,Monster,LIGHT,Thunder / Effect,7,2600 / 2200,,,,,,
Primal Origin,,Rare,Number C103: Ragnafinity,,Monster,WATER,Fairy / Xyz / Effect,,2800 / 2400,5,,,,,
Dark Crisis,,Rare,Great Maju Garzett,,Monster,DARK,Fiend / Effect,6,0 / 0,,,,,,
Extreme Force,,Rare,Glory of the Noble Knights,,Spell,,,,,,,,,,
Blazing Vortex,,Common,War Rock Skyler,,Monster,EARTH,Warrior / Effect,6,2200 / 2200,,,,,,
Soul Fusion,,Ultra Rare,Galaxy-Eyes Solflare Dragon,,Monster,LIGHT,Dragon / Link / Effect,,,,,,,,
Dark Neostorm,,Common,Tyrant Dino Fusion,,Spell,,,,,,,,,,
Return of the Duelist,,Common,Impenetrable Attack,,Trap,,,,,,,,,,
Duelist Alliance,,Rare,Shaddoll Falco,,Monster,DARK,Spellcaster / Flip / Tuner / Effect,2,600 / 1400,,,,,,
Secrets of Eternity,,Common,Blaze Accelerator Reload,,Trap,,,,,,,,,,
Phantom Darkness,,Rare,Gigaplant,,Monster,EARTH,Plant / Gemini / Effect,6,2400 / 1200,,,,,,
Legacy of the Valiant,,Rare,Ghostrick Dullahan,,Monster,DARK,Fiend / Xyz / Effect,,1000 / 0,1,,,,,
Primal Origin,,Common,Bujintervention,,Spell,,,,,,,,,,
Legend of Blue Eyes White Dragon,,Rare,Flower Wolf,,Monster,EARTH,Beast / Fusion,5,1800 / 1400,,,,,,
Magician's Force,,Super Rare,Y-Dragon Head,,Monster,LIGHT,Machine / Union / Effect,4,1500 / 1600,,,,,,
Chaos Impact,,Common,World Reassembly,,Trap,,,,,,,,,,
Legacy of the Valiant,,Common,Bujingi Swallow,,Monster,LIGHT,Winged Beast / Effect,4,1700 / 800,,,,,,
Dimension Force,,Common,Dogmatikaturgy,,Trap,,,,,,,,,,
Burst of Destiny,,Common,Cynet Crosswipe,,Spell,,,,,,,,,,
Extreme Force,,Common,F.A. City Grand Prix,,Spell,,,,,,,,,,
Photon Shockwave,,Super Rare,Black Ray Lancer,,Monster,DARK,Beast-Warrior / Xyz / Effect,,2100 / 600,3,,,,,
Magician's Force,,Common,Dimension Jar,,Monster,DARK,Machine / Effect,2,200 / 200,,,,,,
Primal Origin,,Ultra Rare,Sylvan Sagequoia,,Monster,WIND,Plant / Effect,7,2600 / 2100,,,,,,
Spell Ruler,,Common,Kotodama,,Monster,EARTH,Fairy / Effect,3,0 / 1600,,,,,,
Extreme Victory,,Common,Lancer Lindwurm,,Monster,WIND,Dragon / Effect,4,1800 / 1200,,,,,,
Phantom Darkness,,Common,Cybernetic Hidden Technology,,Trap,,,,,,,,,,
Force of the Breaker,,Common,Backs to the Wall,,Trap,,,,,,,,,,
Metal Raiders,,Short Print,Thunder Dragon,,Monster,LIGHT,Thunder / Effect,5,1600 / 1500,,,,,,
Eternity Code,,Secret Rare,Deep Sea Aria,,Spell,,,,,,,,,,
Spell Ruler,,Rare,Manga Ryu-Ran,,Monster,FIRE,Dragon / Toon / Effect,7,2200 / 2600,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Vision HERO Multiply Guy,,Monster,DARK,Warrior / Effect,3,800 / 700,,,,,,
Ignition Assault,,Common,Hiyari @Ignister,,Monster,WATER,Cyberse / Effect,1,300 / 400,,,,,,
Rise of Destiny,,Common,Nightmare Penguin,,Monster,WATER,Aqua / Effect,4,900 / 1800,,,,,,
Photon Shockwave,,Common,Evoltile Gephyro,,Monster,FIRE,Reptile / Effect,1,200 / 400,,,,,,
Invasion of Chaos,,Rare,Robbin' Zombie,,Trap,,,,,,,,,,
Dimension Force,,Common,XX-clusion,,Trap,,,,,,,,,,
Dawn of Majesty,,Super Rare,"Gizmek Arakami, the Hailbringer Hog",,Monster,WATER,Machine / Effect,4,1850 / 1850,,,,,,
Cosmo Blazer,,Common,Spikeshield with Chain,,Trap,,,,,,,,,,
Circuit Break,,Common,Krawler Dendrite,,Monster,EARTH,Insect / Flip / Effect,2,1300 / 600,,,,,,
Invasion: Vengeance,,Common,Chemicritter Hydron Hawk,,Monster,WATER,Winged Beast / Gemini / Effect,2,1400 / 700,,,,,,
Magician's Force,,Super Short Print,Secret Barrel,,Trap,,,,,,,,,,
Galactic Overlord,,Common,Red-Headed Oni,,Monster,DARK,Zombie / Effect,4,1700 / 1000,,,,,,
Breakers of Shadow,,Ultra Rare,"Buster Blader, the Destruction Swordmaster","Buster Blader, the Destruction Swordsman",Monster,EARTH,Warrior / Effect,7,2600 / 2300,,,,,,
Galactic Overlord,,Common,Overlay Owl,,Monster,WIND,Winged Beast / Effect,4,800 / 1600,,,,,,
Pharaonic Guardian,,Common,Kabazauls,,Monster,WATER,Dinosaur / Normal,4,1700 / 1500,,,,,,
Magician's Force,,Common,Kaiser Colosseum,,Spell,,,,,,,,,,
Metal Raiders,,Common,Block Attack,,Spell,,,,,,,,,,
Absolute Powerforce,,Rare,Djinn Cursenchanter of Rituals,,Monster,DARK,Fiend / Effect,4,1700 / 1000,,,,,,
Metal Raiders,,Super Rare,Tribute to The Doomed,Tribute to the Doomed,Spell,,,,,,,,,,
Shining Victories,,Common,Bad Aim,,Trap,,,,,,,,,,
Legacy of Darkness,,Rare,The Dragon's Bead,,Trap,,,,,,,,,,
Duelist Alliance,,Common,Aria the Melodious Diva,,Monster,LIGHT,Fairy / Effect,4,1600 / 1200,,,,,,
Pharaonic Guardian,,Common,Needle Wall,,Trap,,,,,,,,,,
Dark Neostorm,,Ultra Rare,Mermail Abyssalacia,,Monster,WATER,Sea Serpent / Link / Effect,,,,,,,,
Secrets of Eternity,,Common,Infernoid Seitsemas,,Monster,FIRE,Fiend / Effect,7,2600 / 0,,,,,,
Ancient Prophecy,,Common,Ancient Crimson Ape,,Monster,LIGHT,Beast / Effect,7,2600 / 1800,,,,,,
Crimson Crisis,,Common,Seed Cannon,,Spell,,,,,,,,,,
Circuit Break,,Common,Anesthrokket Dragon,,Monster,DARK,Dragon / Effect,1,0 / 2200,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Odd-Eyes Rebellion Dragon Overlord,,Monster,DARK,Dragon / Xyz / Pendulum / Effect,,3000 / 2500,7,,,,,
The Lost Millennium,,Rare,Grave Ohja,,Monster,EARTH,Rock / Effect,4,1600 / 1500,,,,,,
Ancient Prophecy,,Rare,Solidarity,,Spell,,,,,,,,,,
Rising Rampage,,Super Rare,Hypernova Burst,,Spell,,,,,,,,,,
Crossroads of Chaos,,Super Rare,Red Ogre,,Monster,EARTH,Zombie / Effect,7,2800 / 2100,,,,,,
Secrets of Eternity,,Common,Performapal Call,,Trap,,,,,,,,,,
Metal Raiders,,Common,Guardian of the Labyrinth,,Monster,EARTH,Warrior,4,1000 / 1200,,,,,,
Maximum Gold,,Rare,The Monarchs Erupt,,Trap,,,,,,,,,,
Enemy of Justice,,Rare,Destruction of Destiny,,Trap,,,,,,,,,,
Soul Fusion,,Secret Rare,Trap Trick,,Trap,,,,,,,,,,
Duelist Revolution,,Short Print,Light of Destruction,,Trap,,,,,,,,,,
The Shining Darkness,,Ultra Rare,Chaos King Archfiend,,Monster,DARK,Fiend / Synchro / Effect,7,2600 / 2600,,,,,,
Photon Shockwave,,Common,Wind-Up Bat,,Monster,WIND,Machine / Effect,1,300 / 350,,,,,,
Crossroads of Chaos,,Common,Morphtronic Clocken,,Monster,EARTH,Machine / Effect,2,600 / 1100,,,,,,
The New Challengers,,Secret Rare,Solemn Scolding,,Trap,,,,,,,,,,
Metal Raiders,,Common,The Cheerful Coffin,,Spell,,,,,,,,,,
Maximum Gold,,Premium Gold Rare,"Apollousa, Bow of the Goddess",,Monster,WIND,Fairy / Link / Effect,,,,,,,,
Legacy of Darkness,,Super Rare,Fiend Skull Dragon,,Monster,WIND,Dragon / Fusion / Effect,5,2000 / 1200,,,,,,
Pharaoh's Servant,,Common,Inspection,,Spell,,,,,,,,,,
Cybernetic Revolution,,Common,Mad Lobster,,Monster,WATER,Aqua,3,1700 / 1000,,,,,,
Tactical Evolution,,Common,Cocoon Veil,,Trap,,,,,,,,,,
Gladiator's Assault,,Common,"Detonator Circle ""A""",,Trap,,,,,,,,,,
Pharaonic Guardian,,Super Rare,Barrel Behind the Door,,Trap,,,,,,,,,,
Magician's Force,,Common,Thunder of Ruler,,Trap,,,,,,,,,,
Crimson Crisis,,Common,Bee List Soldier,,Monster,WIND,Insect / Effect,1,500 / 400,,,,,,
Soul of the Duelist,,Rare,Hammer Shot,,Spell,,,,,,,,,,
The Duelist Genesis,,Super Rare,Power Filter,,Spell,,,,,,,,,,
Lightning Overdrive,,Common,Judge of the Ice Barrier,,Monster,WATER,Warrior / Effect,4,1800 / 900,,,,,,
Enemy of Justice,,Common,Searchlightman,,Monster,LIGHT,Machine / Effect,3,1000 / 1000,,,,,,
Chaos Impact,,Common,Dinowrestler Valeonyx,,Monster,EARTH,Dinosaur / Effect,3,1600 / 0,,,,,,
Cyberdark Impact,,Common,Allure Queen LV3,,Monster,DARK,Spellcaster / Effect,3,500 / 500,,,,,,
Lord of the Tachyon Galaxy,,Super Rare,Duck Fighter,,Monster,WIND,Machine / Effect,3,1300 / 1400,,,,,,
Burst of Destiny,,Secret Rare,Swordsoul of Mo Ye,,Monster,WATER,Wyrm / Effect,4,1700 / 1800,,,,,,
Crossroads of Chaos,,Super Rare,Night's End Sorcerer,,Monster,DARK,Spellcaster / Tuner / Effect,2,1300 / 400,,,,,,
Clash of Rebellions,,Common,Igknight Paladin,,Monster,FIRE,Warrior / Pendulum,4,1400 / 1900,,,,,,
Eternity Code,,Ultra Rare,Machina Metalcruncher,,Monster,EARTH,Machine / Effect,9,2800 / 0,,,,,,
Invasion of Chaos,,Common,Thunder Crash,,Spell,,,,,,,,,,
Enemy of Justice,,Rare,Herald of Green Light,,Monster,LIGHT,Fairy / Effect,2,300 / 500,,,,,,
Force of the Breaker,,Rare,Crystal Beast Topaz Tiger,,Monster,EARTH,Beast / Effect,4,1600 / 1000,,,,,,
Power of the Duelist,,Common,Alien Grey,,Monster,LIGHT,Reptile / Effect,2,300 / 800,,,,,,
Primal Origin,,Common,ZS - Vanish Sage,,Monster,LIGHT,Warrior / Effect,1,500 / 100,,,,,,
Lord of the Tachyon Galaxy,,Secret Rare,Windrose the Elemental Lord,,Monster,WIND,Winged Beast / Effect,8,2800 / 2200,,,,,,
Strike of Neos,,Common,Puppet Plant,,Monster,EARTH,Plant / Effect,3,1000 / 1000,,,,,,
Judgment of the Light,,Short Print,Armageddon Designator,,Trap,,,,,,,,,,
Eternity Code,,Common,Superheavy Samurai Wagon,,Monster,EARTH,Machine / Effect,4,1200 / 1800,,,,,,
Ancient Sanctuary,,Common,Judgment of the Desert,,Trap,,,,,,,,,,
Pharaoh's Servant,,Common,Insect Imitation,,Spell,,,,,,,,,,
Savage Strike,,Common,"Super Armored Robot Armed Black Iron ""C""",,Monster,EARTH,Insect / Effect,8,2400 / 2800,,,,,,
Spell Ruler,,Short Print,Luminous Spark,,Spell,,,,,,,,,,
Dimension Force,,Secret Rare,"Therion ""King"" Regulus",,Monster,EARTH,Machine / Effect,8,2800 / 1600,,,,,,
Secrets of Eternity,,Rare,Void Expansion,,Spell,,,,,,,,,,
The Duelist Genesis,,Common,Beast of the Pharaoh,,Monster,EARTH,Zombie / Effect,3,400 / 600,,,,,,
Spell Ruler,,Super Short Print,Slot Machine,,Monster,DARK,Machine / Normal,7,2000 / 2300,,,,,,
Extreme Force,,Common,Parthian Shot,,Trap,,,,,,,,,,
Crossroads of Chaos,,Rare,Miracle Fertilizer,,Spell,,,,,,,,,,
Galactic Overlord,,Common,Hieratic Dragon of Eset,,Monster,LIGHT,Dragon / Effect,5,1900 / 1200,,,,,,
Raging Battle,,Common,Phoenixian Seed,,Monster,FIRE,Plant / Effect,2,800 / 0,,,,,,
Abyss Rising,,Common,Abyss-scale of the Kraken,,Spell,,,,,,,,,,
Legend of Blue Eyes White Dragon,,Short Print,Mystical Moon,,Spell,,,,,,,,,,
Raging Tempest,,Secret Rare,Zoodiac Barrage,,Spell,,,,,,,,,,
Extreme Force,,Rare,Mythical Beast Bashilisk,,Monster,LIGHT,Spellcaster / Pendulum / Effect,4,1800 / 500,,,,,,
Cosmo Blazer,,Super Rare,Valkyrian Knight,,Monster,FIRE,Warrior / Effect,4,1900 / 1200,,,,,,
Strike of Neos,,Common,Alien Psychic,,Monster,DARK,Reptile / Effect,1,200 / 100,,,,,,
Cosmo Blazer,,Secret Rare,Mystical Fairy Elfuria,,Monster,WIND,Spellcaster / Effect,3,1500 / 900,,,,,,
Ignition Assault,,Common,Ghostrick Fairy,,Monster,DARK,Spellcaster / Effect,2,900 / 1000,,,,,,
Battle of Chaos,,Common,Dinomorphia Brute,,Trap,,,,,,,,,,
Code of the Duelist,,Common,Junk Breaker,,Monster,EARTH,Warrior / Effect,4,1800 / 1000,,,,,,
Storm of Ragnarok,,Super Rare,Legendary Six Samurai - Kizan,,Monster,EARTH,Warrior / Effect,4,1800 / 500,,,,,,
Soul of the Duelist,,Short Print,Heavy Slump,,Trap,,,,,,,,,,
Phantom Rage,,Common,Tri-Brigade Stand-Off,,Spell,,,,,,,,,,
Raging Tempest,,Ultra Rare,Windwitch - Ice Bell,,Monster,WIND,Spellcaster / Effect,3,1000 / 1000,,,,,,
Metal Raiders,,Common,Niwatori,,Monster,EARTH,Winged Beast,3,900 / 800,,,,,,
Spell Ruler,,Ultra Rare,Relinquished,,Monster,DARK,Spellcaster / Ritual / Effect,1,0 / 0,,,,,,
Metal Raiders,,Common,Yado Karu,,Monster,WATER,Aqua / Effect,4,900 / 1700,,,,,,
Burst of Destiny,,Super Rare,Meowseclick,,Monster,EARTH,Cyberse / Effect,4,1400 / 1100,,,,,,
Strike of Neos,,Common,Raging Earth,,Monster,EARTH,Reptile / Effect,7,2000 / 1500,,,,,,
The Duelist Genesis,,Super Rare,Twin-Barrel Dragon,,Monster,DARK,Machine / Effect,4,1700 / 200,,,,,,
Labyrinth of Nightmare,,Common,The Emperor's Holiday,,Trap,,,,,,,,,,
Galactic Overlord,,Common,Lady of D.,Lady of Dragons,Monster,DARK,Spellcaster / Effect,4,1500 / 1100,,,,,,
The Duelist Genesis,,Super Rare,Kunai with Chain,,Trap,,,,,,,,,,
Legend of Blue Eyes White Dragon,,Common,Witty Phantom,,Monster,DARK,Fiend,4,1400 / 1300,,,,,,
Battle of Chaos,,Super Rare,S-Force Retroactive,,Monster,LIGHT,Warrior / Effect,1,0 / 0,,,,,,
Abyss Rising,,Short Print,The Humble Sentry,,Spell,,,,,,,,,,
Crossed Souls,,Ultra Rare,Madolche Puddingcess Chocolat-a-la-Mode,,Monster,EARTH,Fairy / Xyz / Effect,,2500 / 2200,5,,,,,
Dark Neostorm,,Rare,Danger! Feets of Strength!,,Spell,,,,,,,,,,
Ancient Sanctuary,,Short Print,7,,Spell,,,,,,,,,,
Battle of Chaos,,Common,Silvervine Senri,,Monster,WIND,Beast / Effect,2,0 / 0,,,,,,
Legendary Duelists: Synchro Storm,,Common,Speed Recovery,,Spell,,,,,,,,,,
Spell Ruler,,Common,Griggle,,Monster,EARTH,Plant / Effect,1,350 / 300,,,,,,
Magician's Force,,Short Print,Ultimate Obedient Fiend,,Monster,FIRE,Fiend / Effect,10,3500 / 3000,,,,,,
Ignition Assault,,Ultra Rare,Ancient Warriors - Masterful Sun Mou,,Monster,WATER,Beast-Warrior / Effect,4,1800 / 1500,,,,,,
Return of the Duelist,,Common,Photon Caesar,,Monster,LIGHT,Warrior / Effect,8,2000 / 2800,,,,,,
Ancient Prophecy,,Rare,Kuribon,Creebon,Monster,LIGHT,Fairy / Effect,1,300 / 200,,,,,,
Tactical Evolution,,Common,Alien Shocktrooper,,Monster,EARTH,Reptile,4,1900 / 800,,,,,,
Ancient Sanctuary,,Super Rare,Stone Statue of the Aztecs,,Monster,EARTH,Rock / Effect,4,300 / 2000,,,,,,
Breakers of Shadow,,Common,Dragon's Bind,,Trap,,,,,,,,,,
Soul Fusion,,Common,Edge Imp Cotton Eater,,Monster,DARK,Fiend / Pendulum / Effect,7,2400 / 1600,,,,,,
Lightning Overdrive,,Common,Yamorimori,,Monster,WATER,Reptile / Effect,2,0 / 0,,,,,,
Duelist Revolution,,Common,Flamvell Poun,Flamvell Paun,Monster,FIRE,Pyro / Effect,1,200 / 200,,,,,,
Pharaoh's Servant,,Ultra Rare,Premature Burial,,Spell,,,,,,,,,,
Breakers of Shadow,,Common,Dinomic Powerload,,Spell,,,,,,,,,,
The New Challengers,,Secret Rare,El Shaddoll Grysta,,Monster,FIRE,Rock / Fusion / Effect,7,2450 / 1950,,,,,,
Soul Fusion,,Rare,Clock Wyvern,,Monster,WIND,Cyberse / Effect,4,1800 / 1000,,,,,,
Invasion of Chaos,,Common,Chaos End,,Spell,,,,,,,,,,
Absolute Powerforce,,Common,Changing Destiny,,Trap,,,,,,,,,,
Maximum Gold,,Rare,Condemned Witch,,Monster,DARK,Fairy / Effect,4,100 / 2000,,,,,,
Generation Force,,Super Rare,Masked HERO Vapor,Masked Hero Vapor,Monster,WATER,Warrior / Fusion / Effect,6,2400 / 2000,,,,,,
Maximum Gold,,Premium Gold Rare,Aleister the Invoker,,Monster,DARK,Spellcaster / Effect,4,1000 / 1800,,,,,,
Secrets of Eternity,,Rare,Doggy Diver,,Monster,DARK,Warrior / Effect,4,1000 / 1000,,,,,,
Photon Shockwave,,Common,Pinecono,Growing Pinecone,Monster,EARTH,Plant / Effect,1,400 / 200,,,,,,
Savage Strike,,Common,Time Thief Regulator,,Monster,DARK,Machine / Effect,4,600 / 200,,,,,,
